,Image,RAM_Tags,YOLO_Tags
0,70.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk,"9 person, 4 car"
1,84.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk,"8 person, 4 car, 1 traffic light"
2,98.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk | zebra crossing,"8 person, 4 car"
3,112.jpg,baby carriage | city street | cross | crosswalk | person | man | pavement | push | ride | road | scooter | skateboard | skateboarder | street corner | walk,"7 person, 3 car"
4,126.jpg,boy | cart | city street | cross | crosswalk | person | skate | man | pavement | push | ride | road | scooter | skateboard | skateboarder | street corner,"8 person, 3 car, 1 traffic light, 1 skateboard"
5,140.jpg,baby carriage | child | city street | cross | crosswalk | person | man | pavement | pedestrian | push | road | street corner | walk | woman,"8 person, 4 car, 1 skateboard"
6,154.jpg,baby carriage | city street | cross | crosswalk | person | man | pavement | pedestrian | push | road | scooter | street corner | walk,"7 person, 3 car"
7,168.jpg,baby carriage | car | cart | city street | cross | crosswalk | drag | person | intersection | man | pavement | push | road | shopping bag | street corner | walk | woman,"4 person, 4 car"
8,182.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | push | ride | road | scooter | skateboard | skateboarder | street corner | walk,"6 person, 5 car"
9,196.jpg,car | city street | cross | crosswalk | person | skate | intersection | man | pavement | ride | road | scooter | skateboarder | street corner | walk,"4 person, 5 car"
10,210.jpg,city street | cross | crosswalk | person | intersection | man | pavement | road | scooter | shirt | street corner | walk,"4 person, 2 car, 1 traffic light"
11,224.jpg,car | child | city street | cross | crosswalk | person | man | pavement | red | road | scooter | shirt | street corner | walk,"4 person, 5 car"
12,238.jpg,car | city street | cross | crosswalk | person | intersection | man | red | ride | road | scooter | shirt | stand | street corner,"4 person, 4 car, 1 motorcycle, 1 traffic light"
13,252.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | red | ride | road | scooter | shirt | stand | street corner | walk,"5 person, 4 car"
14,266.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | road | street corner | walk,"5 person, 3 car"
15,280.jpg,building | car | city street | crack | cross | crosswalk | person | intersection | man | pavement | ride | road | skateboarder | street corner | walk,"4 person, 3 car"
16,294.jpg,building | car | city street | cross | crosswalk | person | intersection | man | pavement | ride | road | scooter | street corner | walk,"6 person, 3 car"
17,308.jpg,building | car | city street | cross | crosswalk | person | intersection | pavement | road | street corner | street sign | walk,"5 person, 2 car"
18,322.jpg,building | car | city street | crack | cross | crosswalk | person | intersection | pavement | road | street corner | walk,"5 person, 2 car, 1 traffic light"
19,336.jpg,building | car | city street | cross | crosswalk | person | intersection | man | pavement | road | street corner | walk,"5 person, 2 car, 1 traffic light"
20,350.jpg,cane | car | city street | cross | crosswalk | person | man | pavement | road | street corner | walk,"7 person, 3 car, 1 traffic light, 1 backpack"
21,364.jpg,car | city street | crack | cross | crosswalk | person | intersection | man | pavement | road | street corner | walk,"8 person, 3 car, 1 traffic light, 1 backpack, 1 handbag"
22,378.jpg,car | city street | crack | cross | crosswalk | person | intersection | man | pavement | road | street corner | walk,"8 person, 2 car, 1 backpack"
23,392.jpg,car | city street | crack | cross | crosswalk | person | intersection | man | pavement | road | street corner | walk,"8 person, 3 car, 1 traffic light, 1 backpack"
24,406.jpg,car | city street | cross | crosswalk | person | intersection | jog | man | pedestrian | road | street corner | walk | woman | zebra crossing,"7 person, 4 car, 1 backpack"
25,420.jpg,car | city street | cross | crosswalk | person | intersection | jog | man | road | street corner | walk,"5 person, 3 car, 1 traffic light, 1 skateboard"
26,434.jpg,car | city street | cross | crosswalk | person | jog | man | marathon | road | shirt | walk,"5 person, 3 car, 1 traffic light"
27,448.jpg,city street | cross | crosswalk | person | jog | man | marathon | pavement | road | shirt | street corner | walk,"6 person, 3 car, 1 traffic light"
28,462.jpg,city street | cross | crosswalk | person | skate | jog | man | pavement | puddle | road | run | runner | shirt | spray | street corner | white,"8 person, 3 car"
29,476.jpg,city street | clean | crack | hose | man | pavement | road | shoe | skateboarder | spray | street corner | walk | wash,"8 person, 3 car"
30,490.jpg,city street | cross | person | jog | man | pavement | road | shirt | skateboarder | street corner | walk | wear,"10 person, 2 car, 1 traffic light, 1 skateboard"
31,504.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | road | spray | street corner | walk,"8 person, 4 car"
32,518.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | road | stand | street corner | walk | woman,"7 person, 5 car"
33,532.jpg,belly | car | city street | cross | crosswalk | hip | person | intersection | man | pavement | road | stand | street corner | walk | woman,"9 person, 4 car"
34,546.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | road | stand | street corner | walk | woman,"5 person, 5 car, 1 traffic light, 1 handbag"
35,560.jpg,car | city street | cross | crosswalk | curb | person | man | pavement | road | spray | stand | street corner | wash,"4 person, 4 car, 1 traffic light"
36,574.jpg,cane | car | city street | cross | crosswalk | person | luggage | man | pavement | pedestrian | road | stand | street corner | walk,"5 person, 6 car, 1 motorcycle, 1 traffic light"
37,588.jpg,bag | car | city street | cross | crosswalk | drag | person | luggage | man | pavement | pedestrian | pull | red | road | street corner | walk | woman,"9 person, 5 car, 1 traffic light, 1 handbag, 1 suitcase"
38,602.jpg,bag | carry | city street | cross | crosswalk | drag | person | luggage | man | pavement | pull | push | red | road | street corner | walk,"8 person, 5 car, 1 suitcase"
39,616.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | push | road | scooter | segway | street corner | vacuum | walk,"8 person, 4 car, 1 suitcase"
40,630.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | push | road | scooter | street corner | walk,"6 person, 6 car, 1 traffic light, 1 handbag, 1 suitcase"
41,644.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | ride | road | scooter | segway | street corner | walk,"6 person, 5 car, 1 traffic light"
42,658.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk,"7 person, 1 bicycle, 6 car, 1 suitcase"
43,672.jpg,car | city street | cross | crosswalk | person | intersection | pavement | pedestrian | road | street corner | walk,"6 person, 6 car, 1 handbag, 1 suitcase"
44,686.jpg,car | city street | cross | crosswalk | person | intersection | pavement | pedestrian | road | street corner | walk,"5 person, 6 car"
45,700.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk,"7 person, 6 car, 1 suitcase"
46,714.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | spray | street corner | walk | woman,"8 person, 3 car, 1 traffic light"
47,728.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | road | street corner | walk | woman,"3 person, 3 car"
48,742.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk,"6 person, 5 car, 1 traffic light"
49,756.jpg,car | city street | cross | crosswalk | person | man | pavement | pedestrian | road | street corner | walk,"7 person, 1 bicycle, 4 car"
50,770.jpg,car | city street | cross | crosswalk | drive | person | intersection | man | pavement | pedestrian | road | sedan | street corner | walk,"10 person, 5 car"
51,784.jpg,building | car | city street | curb | drive | intersection | license plate | park | pavement | road | sedan | street corner | suv | vehicle,"2 person, 3 car, 1 traffic light"
52,798.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk,"8 person, 3 car, 1 traffic light"
53,812.jpg,car | city street | cross | crosswalk | person | intersection | man | pedestrian | road | street corner | walk,"6 person, 2 car, 2 motorcycle"
54,826.jpg,baby carriage | car | child | city street | cross | crosswalk | person | intersection | man | pedestrian | ride | road | scooter | street corner | tricycle | walk,"3 person, 2 car, 1 motorcycle"
55,840.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | shirt | street corner | walk | woman,"6 person, 2 car, 1 traffic light"
56,854.jpg,car | city street | cross | crosswalk | direct | person | intersection | man | officer | road | street corner | walk | zebra crossing,"8 person, 3 car, 1 traffic light"
57,868.jpg,car | city street | cross | crosswalk | guard | intersection | man | officer | pavement | police | road | street corner | walk | woman,"5 person, 3 car"
58,882.jpg,car | city street | cross | crosswalk | man | officer | pavement | police | road | shirt | spray | street corner | walk,"7 person, 5 car, 1 traffic light"
59,896.jpg,car | city street | guard | man | officer | pavement | police | road | street corner | uniform | walk,"5 person, 3 car"
60,910.jpg,car | city street | direct | guard | officer | pavement | police | road | stand | street corner | uniform | walk,"2 person, 4 car"
61,924.jpg,building | car | city street | cross | crosswalk | drive | intersection | pavement | road | traffic light | street corner | white,"5 person, 4 car"
62,938.jpg,building | car | city street | crosswalk | curb | drive | intersection | road | sedan | street corner | white,"4 person, 6 car"
63,952.jpg,building | car | city street | curb | drive | intersection | park | road | sedan | street corner | white,"4 person, 7 car"
64,966.jpg,building | car | city street | crosswalk | curb | drive | intersection | park | pavement | road | sedan | street corner | white,3 car
65,980.jpg,building | car | city street | crosswalk | curb | drive | intersection | pavement | road | street corner | street sign | suv,"7 person, 3 car, 1 motorcycle"
66,994.jpg,building | car | city street | cross | crosswalk | curb | drive | intersection | license plate | pavement | road | sedan | street corner | suv | vehicle,"3 person, 5 car"
67,1008.jpg,building | car | city street | curb | drive | intersection | license plate | pavement | road | sedan | street corner | suv,"1 person, 5 car"
68,1022.jpg,building | car | city street | crosswalk | curb | drive | intersection | pavement | road | street corner | street sign,"1 person, 4 car"
69,1036.jpg,building | car | city street | crack | crosswalk | curb | drive | intersection | pavement | road | street corner | street sign,"2 person, 4 car"
70,1050.jpg,building | car | city street | crack | cross | crosswalk | curb | person | intersection | man | pavement | road | street corner | street sign | walk,"6 person, 3 car"
71,1064.jpg,cane | city street | crack | cross | crosswalk | person | man | pavement | road | spray | street corner | walk,"5 person, 3 car"
72,1078.jpg,blue | car | city street | crack | cross | crosswalk | person | man | pavement | road | street corner | walk,"5 person, 3 car"
73,1092.jpg,car | city street | cross | crosswalk | person | skate | intersection | man | pavement | ride | road | skateboard | skateboarder | street corner | walk,"4 person, 3 car"
74,1106.jpg,car | city street | cross | crosswalk | person | intersection | jog | man | pavement | road | street corner | walk | woman,"6 person, 3 car"
75,1120.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | ride | road | street corner | walk,"4 person, 4 car"
76,1134.jpg,car | city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk,"5 person, 3 car"
77,1148.jpg,biker | car | city street | cross | crosswalk | person | intersection | man | pavement | ride | road | street corner | walk,"5 person, 3 car"
